iteration,clf__alpha,clf__l1_ratio,clf__n_iter,kbest__percentile,vec__max_df,vec__min_df,vec__ngram_range,vec__sublinear_tf,scores_10_fold_cv
201,1.57E-08,0.28667944,70,51.56466151,0.86538401,2,"(1, 3)",TRUE,0.95172101
202,7.33E-09,0.804831436,60,73.26119311,0.844083046,3,"(1, 2)",TRUE,0.953825775
203,2.29E-05,0.073891885,35,64.04382762,0.709777476,2,"(1, 3)",TRUE,0.96520439
204,1.07E-09,0.247918092,50,56.44937957,0.767379286,2,"(1, 2)",TRUE,0.954054459
205,2.99E-08,0.01902484,65,61.68308153,0.702664086,2,"(1, 3)",TRUE,0.953313735
206,3.37E-06,0.129701377,60,52.79450098,0.735020019,3,"(1, 3)",TRUE,0.960418775
207,6.57E-05,0.568429476,75,68.44102467,0.725782259,2,"(1, 2)",TRUE,0.958203966
208,9.88E-05,0.185603515,25,80.59916361,0.812774444,1,"(1, 1)",TRUE,0.959380671
209,1.27E-05,0.058411152,30,79.33562634,0.746731835,2,"(1, 3)",TRUE,0.964433506
210,2.91E-05,0.198624598,20,50.87521641,0.825446335,3,"(1, 3)",TRUE,0.963381124
211,3.91E-05,0.164914,60,82.09410579,0.858515089,2,"(1, 2)",TRUE,0.963714569
212,9.11E-08,0.387386171,40,75.35343953,0.719004535,2,"(1, 3)",TRUE,0.953679736
213,4.61E-06,0.000373322,65,54.73629809,0.760639905,3,"(1, 3)",TRUE,0.960796485
214,1.92E-05,0.762121247,45,57.31135153,0.753867357,2,"(1, 2)",TRUE,0.956921236
215,5.48E-05,0.088804932,75,71.43577231,0.78659116,1,"(1, 1)",TRUE,0.95992988
216,8.32E-06,0.037067542,60,65.6912829,0.890508113,2,"(1, 3)",TRUE,0.964717376
217,8.32E-05,0.231447445,35,50.0318917,0.793532473,3,"(1, 3)",TRUE,0.962211307
218,3.34E-05,0.941495294,70,59.14651085,0.777171902,2,"(1, 2)",TRUE,0.954659185
219,1.05E-05,0.139465269,65,63.38807193,0.879407643,2,"(1, 3)",TRUE,0.963968907
220,2.46E-06,0.019353879,50,67.08187747,0.834053839,3,"(1, 3)",TRUE,0.960768431
221,5.99E-06,0.108284593,60,61.19908827,0.81831976,2,"(1, 2)",TRUE,0.963527453
222,4.54E-05,0.301975686,75,85.14140526,0.7413938,1,"(1, 1)",TRUE,0.95769386
223,2.60E-05,0.526580283,20,55.82444923,0.801077822,2,"(1, 3)",TRUE,0.960969163
224,9.79E-05,0.330847307,25,70.09579519,0.871219393,3,"(1, 3)",TRUE,0.959555168
225,1.27E-07,0.052948766,60,52.10596179,0.732822248,2,"(1, 2)",TRUE,0.95256803
226,2.02E-07,0.150340949,30,83.68390861,0.765045431,2,"(1, 3)",TRUE,0.953190484
227,1.34E-05,0.446641122,40,57.41065841,0.841972692,3,"(1, 3)",TRUE,0.959448796
228,6.64E-05,0.215894191,65,54.0916178,0.808153111,2,"(1, 2)",TRUE,0.962610133
229,1.77E-06,0.348425393,45,62.79698236,0.705992202,1,"(1, 1)",TRUE,0.945958049
230,1.58E-05,0.07512682,75,60.24516849,0.718257672,2,"(1, 3)",TRUE,0.96535249
231,2.19E-05,0.000473529,60,52.89962045,0.77358798,3,"(1, 3)",TRUE,0.964654853
232,5.23E-07,0.496469877,55,78.29747738,0.756045655,2,"(1, 2)",TRUE,0.95288322
233,3.21E-05,0.702031423,70,50.81180347,0.847401179,2,"(1, 3)",TRUE,0.958782715
234,7.36E-06,0.255548741,65,58.15551677,0.854850286,3,"(1, 3)",FALSE,0.959957312
235,3.77E-06,0.648631225,35,64.835772,0.793691853,2,"(1, 2)",TRUE,0.951919142
236,5.77E-05,0.274292689,60,73.53433807,0.712057936,1,"(1, 1)",TRUE,0.957835594
237,3.97E-05,0.176613741,50,72.53445417,0.743508418,2,"(1, 3)",TRUE,0.963693447
238,7.43E-05,0.118777216,75,50.05256381,0.725079274,3,"(1, 3)",TRUE,0.964265929
239,1.84E-05,0.024487408,25,66.52990178,0.827912496,2,"(1, 2)",FALSE,0.964810491
240,4.93E-05,0.00022641,30,56.76670966,0.783672938,2,"(1, 3)",TRUE,0.966772004
241,9.93E-05,0.09584043,30,59.26638533,0.784073514,2,"(1, 3)",TRUE,0.963807315
242,9.66E-06,0.065432571,30,56.61762454,0.749543814,3,"(1, 3)",TRUE,0.962561672
243,5.40E-06,0.032272482,60,61.71326701,0.737092401,2,"(1, 3)",TRUE,0.964223356
244,1.27E-06,0.126681384,30,55.22076945,0.768982977,1,"(1, 3)",TRUE,0.964792994
245,1.74E-09,0.154210284,30,53.64545875,0.778713773,2,"(1, 3)",TRUE,0.953843054
246,3.26E-06,0.602830706,30,52.22653521,0.70031685,3,"(1, 3)",FALSE,0.950744139
247,2.32E-05,0.209954836,30,60.58013496,0.759074525,2,"(1, 3)",TRUE,0.964194051
248,1.40E-05,0.045090641,30,63.87441676,0.729753958,2,"(1, 3)",TRUE,0.965168454
249,2.79E-07,0.00104715,30,62.67175234,0.748488383,3,"(1, 3)",TRUE,0.953072166
250,4.73E-05,0.100625096,30,56.56616204,0.761945364,2,"(1, 3)",TRUE,0.965190751
251,8.82E-07,0.079953852,20,55.15772784,0.787614826,1,"(1, 3)",TRUE,0.961466863
252,1.08E-08,0.174757023,65,58.16940953,0.720783309,2,"(1, 3)",FALSE,0.953454809
253,9.89E-05,0.415509346,40,51.06001097,0.804284794,3,"(1, 3)",TRUE,0.958044338
254,5.04E-09,0.231765629,45,54.09248399,0.754584943,2,"(1, 3)",TRUE,0.954500025
255,3.01E-05,0.307333198,60,65.52651788,0.739133992,2,"(1, 3)",TRUE,0.962801377
256,1.15E-05,0.735936854,55,59.43000275,0.775368379,3,"(1, 3)",TRUE,0.954246392
257,7.66E-06,0.018214811,30,69.13002351,0.731927362,2,"(1, 3)",TRUE,0.964615151
258,3.66E-05,0.046655926,75,57.17832993,0.814117209,2,"(1, 3)",TRUE,0.966018852
259,5.96E-05,0.060234949,70,55.81786008,0.821256512,2,"(1, 3)",TRUE,0.965720718
260,7.11E-05,0.01401388,35,52.87595831,0.860815471,2,"(1, 3)",TRUE,0.966637818
261,4.99E-05,0.11656771,35,52.81936671,0.770807495,2,"(1, 3)",TRUE,0.964720194
262,7.82E-05,0.001899641,35,51.86660361,0.796646038,2,"(1, 3)",TRUE,0.966337144
263,9.86E-05,0.080842551,35,54.36459695,0.83624602,2,"(1, 3)",TRUE,0.963841977
264,7.17E-05,0.024144746,35,53.2141363,0.744593042,2,"(1, 3)",TRUE,0.965898941
265,2.60E-05,0.145088962,35,50.58413279,0.861596705,2,"(1, 3)",TRUE,0.965017
266,1.78E-05,0.063101304,35,58.48235151,0.715479276,2,"(1, 3)",TRUE,0.965416093
267,4.38E-05,0.038649647,35,50.01832402,0.765656341,2,"(1, 3)",TRUE,0.966030205
